cons_id,party_id,party_list_vote,party_list_vote_percent
LEI_2,702,309,0.33103
LEI_3,702,273,0.27641
LEI_4,702,276,0.29492
LPG_1,702,220,0.18247
LPG_2,702,355,0.29683
LPG_3,702,201,0.16634
LPG_4,702,359,0.29395
LPN_1,702,203,0.13888
LPN_2,702,311,0.21996
LRI_1,702,53,0.05651
LRI_2,702,91,0.0953
LRI_3,702,136,0.13938
LRI_4,702,178,0.19825
LRI_5,702,159,0.17623
MDH_1,702,223,0.20993
MDH_2,702,271,0.26326
MKM_1,702,194,0.2021
MKM_2,702,281,0.31209
MKM_3,702,399,0.4335
MKM_4,702,417,0.46987
MKM_5,702,266,0.27712
MKM_6,702,282,0.28843
MSN_1,702,85,0.1195
MSN_2,702,171,0.22268
NAN_1,702,238,0.21261
NAN_2,702,345,0.33505
NAN_3,702,279,0.29798
NBI_1,702,28,0.02614
NBI_2,702,27,0.0283
NBI_3,702,29,0.02738
NBI_4,702,21,0.0218
NBI_5,702,44,0.04317
NBI_6,702,37,0.03452
NBI_7,702,54,0.04306
NBI_8,702,52,0.05039
NBP_1,702,286,0.29804
NBP_2,702,235,0.26416
NBP_3,702,319,0.36572
NKI_1,702,185,0.19056
NKI_2,702,197,0.22676
NKI_3,702,223,0.26868
NMA_1,702,28,0.02784
NMA_10,702,192,0.16739
NMA_11,702,274,0.26741
NMA_12,702,203,0.19436
NMA_13,702,205,0.21758
NMA_14,702,76,0.0788
NMA_15,702,269,0.2527
NMA_16,702,298,0.30494
NMA_2,702,75,0.07001
NMA_3,702,74,0.07016
NMA_4,702,206,0.19873
NMA_5,702,259,0.25361
NMA_6,702,244,0.2652
NMA_7,702,326,0.35677
NMA_8,702,197,0.2009
NMA_9,702,233,0.23256
NPM_1,702,421,0.4198
NPM_2,702,347,0.34733
NPM_3,702,320,0.32677
NPM_4,702,303,0.30336
NPT_1,702,49,0.04586
NPT_2,702,30,0.03005
NPT_3,702,115,0.11824
NPT_4,702,125,0.11665
NPT_5,702,65,0.05985
NPT_6,702,21,0.02153
NSN_1,702,61,0.05766
NSN_2,702,171,0.15947
