cons_id,cons_no,prov_id,registered_vote,total_vote_stations,zone
PTE_7,7,PTE,142903,209,"อำเภอหนองเสือ (เฉพาะตำบลบึงบอน, ตำบลบึงบา, ตำบลหนองสามวัง, ตำบลศาลาครุ)"
PTN_1,1,PTN,95339,136,อำเภอเมืองปัตตานี
PTN_2,2,PTN,107850,184,อำเภอโคกโพธิ์
PTN_2,2,PTN,107850,184,อำเภอหนองจิก
PTN_3,3,PTN,95635,145,อำเภอแม่ลาน
PTN_3,3,PTN,95635,145,อำเภอทุ่งยางแดง
PTN_3,3,PTN,95635,145,อำเภอยะรัง
PTN_4,4,PTN,106337,188,อำเภอไม้แก่น
PTN_4,4,PTN,106337,188,อำเภอกะพ้อ
PTN_4,4,PTN,106337,188,อำเภอปะนาเระ
PTN_4,4,PTN,106337,188,อำเภอสายบุรี
PTN_5,5,PTN,104912,173,อำเภอมายอ
PTN_5,5,PTN,104912,173,อำเภอยะหริ่ง
PYO_1,1,PYO,126264,275,อำเภอเมืองพะเยา
PYO_1,1,PYO,126264,275,อำเภอแม่ใจ
PYO_2,2,PYO,128650,289,อำเภอเชียงคำ
PYO_2,2,PYO,128650,289,อำเภอจุน
PYO_2,2,PYO,128650,289,อำเภอภูซาง
PYO_3,3,PYO,131893,298,อำเภอเชียงม่วน
PYO_3,3,PYO,131893,298,อำเภอดอกคำใต้
PYO_3,3,PYO,131893,298,อำเภอปง
PYO_3,3,PYO,131893,298,อำเภอภูกามยาว
RBR_1,1,RBR,138665,219,"อำเภอเมืองราชบุรี (ยกเว้นตำบลน้ำพุ, ตำบลห้วยไผ่, ตำบลดอนแร่, ตำบลอ่างทอง)"
RBR_2,2,RBR,133083,225,"อำเภอเมืองราชบุรี (เฉพาะตำบลน้ำพุ, ตำบลห้วยไผ่, ตำบลดอนแร่, ตำบลอ่างทอง)"
RBR_2,2,RBR,133083,225,อำเภอบ้านคา
RBR_2,2,RBR,133083,225,อำเภอปากท่อ
RBR_2,2,RBR,133083,225,อำเภอวัดเพลง
RBR_2,2,RBR,133083,225,อำเภอสวนผึ้ง
RBR_3,3,RBR,138716,238,"อำเภอโพธาราม (ยกเว้นตำบลบ้านฆ้อง, ตำบลบ้านสิงห์, ตำบลดอนทราย)"
RBR_3,3,RBR,138716,238,อำเภอจอมบึง
RBR_4,4,RBR,138958,206,อำเภอบ้านโป่ง
RBR_5,5,RBR,133041,223,"อำเภอโพธาราม (เฉพาะตำบลบ้านฆ้อง, ตำบลบ้านสิงห์, ตำบลดอนทราย)"
RBR_5,5,RBR,133041,223,อำเภอดำเนินสะดวก
